idMouvement;CodeInscrit;DateSortie;CodeJeu;DateRetour;Etat;CommentaireSortie;Rendu;CommentaireRetour;Retard;Prolonge;QteProlonge;idForfait;NumForfait;Points;PointsReport;NumForfaitReport;TypeForfReport
40061;A307;06/09/2025;1419;01/10/2025;;;Vrai;;Vrai;Faux;0;1;;1;0;;
40063;A307;06/09/2025;1295;01/10/2025;;;Vrai;;Vrai;Faux;0;1;;1;0;;
40065;A547;10/09/2025;415;;;;Faux;;Faux;Faux;0;1;;1;0;;
40067;A547;10/09/2025;965;24/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40069;A547;10/09/2025;puzzle;;;;Faux;;Faux;Faux;0;1;;1;0;;
40071;A547;10/09/2025;473;24/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40073;A547;10/09/2025;puzzle;;;;Faux;;Faux;Faux;0;1;;1;0;;
40075;A452;10/09/2025;1049;01/10/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40077;A452;10/09/2025;1408;01/10/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40079;A452;10/09/2025;1267;01/10/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40081;A454;10/09/2025;380;;;;Faux;;Faux;Faux;0;1;;1;0;;
40083;A454;10/09/2025;402;;;;Faux;;Faux;Faux;0;1;;1;0;;
40085;A454;10/09/2025;puzzle;;;;Faux;;Faux;Faux;0;1;;1;0;;
40087;A454;10/09/2025;puzzle;;;;Faux;;Faux;Faux;0;1;;1;0;;
40089;A484;10/09/2025;592;26/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40091;A484;10/09/2025;953;26/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40093;A484;10/09/2025;puzzle;26/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40095;A484;10/09/2025;1271;26/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40097;A437;10/09/2025;379;08/10/2025;;;Vrai;;Vrai;Faux;0;1;;1;0;;
40099;A437;10/09/2025;815;08/10/2025;;;Vrai;;Vrai;Faux;0;1;;1;0;;
40101;A437;10/09/2025;878;08/10/2025;;;Vrai;;Vrai;Faux;0;1;;1;0;;
40103;A453;10/09/2025;1036;19/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40105;A453;10/09/2025;475;19/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40107;A453;10/09/2025;1046;19/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40109;A453;10/09/2025;puzzle;19/09/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40111;A453;10/09/2025;puzzle;01/10/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40113;A198;10/09/2025;1355;01/10/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
40115;A198;10/09/2025;1063;01/10/2025;;;Vrai;;Faux;Faux;0;1;;1;0;;
